module,problem_pattern,problem_desc,root_cause,solution,tags,severity
天气预警,时效延迟,大雾预警说能见度低于200米但附近高速没封路,不同行业(交管/轮渡/机场)采用不同预警阈值未打通,预警详情标注各行业响应状态(高速正常/限速/封闭)由相关部门API实时联动,预警理解,high
天气预警,时空误差,手机在口袋没看预警弹窗错过了大风红色预警,预警推送仅依赖App弹窗缺少冗余渠道(短信/电话/小区广播),极端预警(红色)启用多渠道并发推送(App+短信基站+应急广播),预警理解,high
数据时效,时效延迟,温度显示31度更新时间是2小时前的数据,地面自动站数据回传链路存在延迟(无线传输/质控/入库),实况数据增加数据新鲜度标识(绿色<30min/黄色30-60min/红色>60min),数据质量,high
数据时效,时效延迟,下拉刷新了5次还是同一组数据没有变,客户端刷新只触发前端重请求后端仍返回缓存数据,刷新操作触发后端数据源穿透拉取而非从中间缓存层返回,数据质量,high
数据时效,时效延迟,实况温度31度点进去详情页显示32度两个页面不一致,不同页面调用不同微服务数据更新频率不一致(主站每10分钟/详情页30分钟),统一各页面数据刷新频率和对齐时间戳保证一致,数据质量,high
短临降水,时效延迟,雷达图时间戳是15分钟前的外面雨已经停了,雷达数据从观测到用户端链路(采集+传输+处理+渲染)延迟合计超15分钟,雷达数据全链路延迟监控优化目标端到端延迟<5分钟,雷达解读,high
数据时效,时效延迟,国外城市温度显示还是昨天的数据没有更新,海外数据源接入频次低(6小时一次)且更新时机在用户当地清晨,海外城市按当地一天四时段(06/12/18/00)更新并标注当地时间戳,数据质量,high
空气质量,时效延迟,AQI说是实时数据但显示的是早上8点的,环保部门AQI审核发布流程导致从监测到公开有1-2小时延迟,区分实时(未审核)和正式发布(已审核)AQI并标注数据状态,数据质量,high
数据时效,时效延迟,明明已经起风了App还显示静风更新太慢,自动站风场采样策略(2分钟平均/10分钟平均)导致阵风响应滞后,风场实况增加瞬时阵风和滑动1分钟平均风产品,数据质量,high
数据时效,时效延迟,停雨半小时了App降雨量还在涨,小时雨量统计按整点累计旧数据未因降雨停止而终结,降雨量统计改为滑动60分钟累计+降雨停止后5分钟内封存数据,数据质量,high
数据时效,时效延迟,数据更新时间写10:00但现在10:05了5分钟没动,更新时间仅标示整点整10分钟用户期望看到更细粒度,更新时间精度从10分钟提升至分钟级甚至1分钟级并附数据到达时间,数据质量,high
数据时效,时效延迟,晴天气象站数据没问题一到大暴雨站点数据就中断,极端天气下气象站通信链路(4G/北斗)受影响导致数据缺测,自动站增加双链路冗余(4G+北斗短报文或星链)极端天气保障回传,数据质量,high
台风预报,时效延迟,台风路径预报图已经更新偏北了但预警信号还挂着旧路径的老预警,台风预报由中央气象台滚动更新而预警发布由省级气象局独立签发两者更新节奏不协同,建立预报-预警联动更新机制当路径偏移超过阈值时自动触发预警复核和同步刷新,预警理解,medium
台风预报,数据偏差,同一个台风App里预报路径往西但预警提示说往西北两个说法打架,数值模式预报(CMA-GFS)和预报员主观订正路径(预警附件)不一致时未做冲突检测和用户提示,当预报与预警路径分歧超过阈值时在前端增加差异说明卡片标注各自来源和更新时间,预警理解,medium
台风预报,时效延迟,台风都登陆减弱了预警还是橙色挂了整整一上午没降级,预警降级需人工签发流程涉及多级会商导致操作延迟,建立预警半自动降级机制当实况风速/气压达到降级阈值时系统自动提示值班员一键签发,预警理解,medium
台风预报,时效延迟,台风过境两天了解除预警的消息才推送过来,预警解除信号依赖下级市县级气象局确认回复上级下发链路存在逐级汇总延迟,预警解除链路从逐级上报改为省级集中监控触发+扁平化下发取消层层确认环节,预警理解,medium
天气预警,数据偏差,大风预警App上显示蓝色但隔壁城市同样的风发了黄色级别对不上,各市县预警发布阈值存在地方性差异同一实况在不同行政区的预警级别不同,App预警展示增加同一实况下的预警级别横向对比和说明,预警理解,medium
天气预警,数据偏差,暴雨红色预警是气象局发的但水利局发的山洪预警还是蓝色两个部门对不上,气象部门降雨预警和水利部门山洪/洪水预警采用不同阈值和时效且缺乏联合发布机制,跨部门预警联动增加气象-水利联合预警产品对同一过程统一影响等级表述,预警理解,medium
天气预警,时效延迟,自然资源局的地质灾害气象预警比气象局暴雨预警晚了3小时才发布,地质灾害预警依赖降雨实况达到累计阈值才触发而气象局暴雨预警在预报降雨时就发布,地质灾害预警前置由预报降雨量触发改为降雨预报和实况双引擎触发实现同步发布,预警理解,medium
台风预报,认知偏差,为啥App上中央气象台的台风路径和日本气象厅的预报不一样该信哪个,不同国家/地区气象机构使用不同数值模式和初始场导致台风路径预报有差异,台风路径图增加多机构路径集合展示和不确定性概率椭圆帮助用户理解预报差异,台风,medium
空气质量,数据偏差,环保局AQI数据还是良但App根据气象数据推算的空气质量预报已经报轻度污染了对不上,环保局AQI为实测审核数据发布延迟而空气质量预报为模式推算结果两者时空属性不同,空气质量页面统一区分实测(环保局审核)和预报(气象模式)两套数据标注数据性质和时间,空气质量,medium
潮汐海浪,时效延迟,海洋局发了海浪橙色预警但App上浪高数据还是2小时前的根本没体现,海洋局波浪浮标数据与气象局数据链路独立用户端未打通,建立海洋-气象数据融合平台统一接入海洋浮标/卫星高度计波浪数据实现分钟级浪高更新,预警理解,medium
天气预警,时效延迟,寒潮预警气象局发布了但交通部门的道路结冰预警晚了半天高速都封了才出来,道路结冰预警需交通部门路面传感器触发与气象局气温预报不同步,道路结冰预警由气象局气温预报自动预触发+交通部门路面传感器确认双机制缩短发布延迟,预警理解,medium
天气预警,认知偏差,同一个暴雨过程气象局发了预警防汛办也发了预警市民不知道该听谁的,多部门针对同一灾害过程发布不同侧重点的预警但用户端无汇总解读,App暴雨预警页增加多部门预警信息聚合(气象/水利/自然资源/应急)用统一影响语言解读,预警理解,medium
台风预报,时效延迟,台风预警信号凌晨2点更新了但App上的预警数据到早上8点才刷新,预警数据源从气象局CIMISS系统接入采用定时拉取而非实时推送导致夜间更新延迟,预警数据接入改为消息队列实时推送机制替代定时轮询确保任意时间发布后60秒内同步,预警理解,medium
实况,认知偏差,你们App说今天晴天怎么外面在下雨,用户混淆了实时天气和预报天气,页面区分当前实时天气和未来预报,气象原理,low
实况,认知偏差,天气预报说多云为什么太阳这么大,多云定义是云量60-90%仍有阳光,多云图标增加阳光穿透效果,气象原理,low
实况,数据偏差,我这明明在下雨App还显示晴天,气象站与用户位置有距离,增加附近气象站实时数据参考,降雨,high
天气预警,认知偏差,暴雨预警解除了怎么路上还有积水,预警解除指降雨停止但积水消退需要时间,预警解除后增加积水消退预估时间,预警理解,low
空气质量,认知偏差,PM2.5和PM10有什么区别,用户不了解颗粒物粒径差异,空气质量页增加PM2.5/PM10科普卡片,空气质量,low
实况,认知偏差,为什么天气预报总是不准,用户对预报精度期望过高不了解预报不确定性,增加预报可信度和误差范围展示,气象原理,low
实况,数据偏差,温度计显示28度App显示32度差太多,用户室内温度计与室外气象站温度不同,说明气象温度是室外百叶箱标准测量值,温度,medium
短临降水,认知偏差,说好的一小时后雨停怎么还在下,短临预报精度有限降水结束时间存在误差,短临预报增加置信度和误差范围,降雨,medium
实况,认知偏差,为什么台风天风这么大但雨不大,台风外围风力强但雨带未覆盖,台风页增加风雨分离科普说明,天气系统,low
空气质量,认知偏差,为什么开窗通风后室内PM2.5反而升高了,室外污染比室内严重时开窗会引入污染物,增加室内外空气质量对比和开窗建议,空气质量,medium
